@relation melanome

@attribute lightbrown {0,1}
@attribute bluegray {0,1}
@attribute darkbrown {0,1}
@attribute black {0,1}
@attribute red {0,1}
@attribute white {0,1}
@attribute labelClass{false, true}

@data
1,0,0,0,1,1,false
0,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
0,0,0,0,1,1,false
0,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,0,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,1,1,0,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,0,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,1,1,0,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,0,false
1,0,1,0,1,0,false
1,0,0,1,1,0,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,0,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,0,false
1,0,1,0,1,0,false
1,0,1,0,1,0,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,1,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,0,true
1,0,0,0,1,1,true
1,0,0,0,1,1,false
1,0,0,1,1,0,true
1,0,0,0,1,1,true
1,0,0,0,1,1,false
1,0,0,0,1,0,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,true
1,0,0,0,1,1,true
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,0,false
1,0,0,0,1,0,true
1,0,1,0,1,1,true
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
0,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,1,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,0,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,0,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
1,0,0,0,1,1,true
1,0,0,0,1,1,true
0,0,0,0,1,1,true
1,0,0,0,1,1,false
1,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
1,0,1,1,1,0,true
1,0,1,0,1,1,true
1,0,0,0,1,1,true
1,0,0,0,1,1,true
1,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,true
0,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,1,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
1,0,0,0,1,1,false
0,0,0,0,1,1,false
0,0,0,0,1,1,true
1,0,0,0,1,1,false
0,0,0,0,1,1,false
